#
# Wolf textures
#
WOLF|BLACK_COLLARED: WOLF|PALE|TAME|BLACK_COLLARED
CAT|CALICO|GREEN_COLLARED: 1a0a52854eaefd79660dd84b785f0da9f6b53d3e591af82811371399c60b3941
CAT|CALICO|BROWN_COLLARED: 6591e8f7880c4fce9ef5c9aa3836e6b030014df7fd275c40383cda6c7b2ff7b1
CAT|CALICO|BLUE_COLLARED: e3ff1dc7cf203e977e7ba28758b5eafd530a62c983e7a41a71a85d6feb03962d
CAT|CALICO|PURPLE_COLLARED: 9f06cd1914abb82b52f42709b0c25e0affb92fc4b7be1ecfef59fbbe862a3b8b
CAT|CALICO|CYAN_COLLARED: b375e4c1f8460fa23de71f2d49d2fe52c92ec31efe8f264ac4aebc39757ebb6
CAT|CALICO|LIGHT_GRAY_COLLARED: c173a58d1d22345b1bd410e9a627e89e4f0b3871ea9ca027b124dad84ff2db33
CAT|CALICO|GRAY_COLLARED: cc39683c32f3ab2a0f4ab94b159dcd48a0b2710cc6df01bad3fd34eb8ef3df9
CAT|CALICO|PINK_COLLARED: cee007623a1d859268cbeb93169653b7fff235a46fe3b302aed15715cd504dad
CAT|CALICO|LIME_COLLARED: f7c3604283eeb7bbe296a3e37fae3b6bb300637dcf17b3806333dfbc2d44f229
CAT|CALICO|YELLOW_COLLARED: b28a8bbb83a5fd39a7cacb668f24bff747bc40a5a8f30085775cf93b209c0450
CAT|CALICO|LIGHT_BLUE_COLLARED: c393affa1e4bd022e26b6dccdc79eae92099499a9eb91b572040d69cbd02c7f1
CAT|CALICO|MAGENTA_COLLARED: 7669e11e69293fefcaf2342fa279bce213fe4c19101db94a1364c87ed34c0f48
CAT|CALICO|ORANGE_COLLARED: 8b03c73cb6a0a78b24feb1ded598415b8cb6aa92458bfd757544b32f9e8f7966
CAT|CALICO|WHITE_COLLARED: fe5522c3f30e36746041f854ea1fe663bc926751947ab1ad56581a8bc6572299

CAT|GINGER|BLACK_COLLARED: 9ff4915e3e5967381d43a8b47f3c3b49510fa2b99e9f7e69dc3b8f5d0ba6fa6f
CAT|GINGER|RED_COLLARED: 39966fdb05cf1ac956219426f3438002d294ef783612b7c40c25768d0e70847f
CAT|GINGER|GREEN_COLLARED: c15637b085ec3f368783bfc104fd97a9f37338ac6624f5d15b0911c2716c8072
CAT|GINGER|BROWN_COLLARED: beb62a71317b36a2e0998353eb77623181f90c77bbc1b465113cc7a8b48f71e
CAT|GINGER|BLUE_COLLARED: 9ff4915e3e5967381d43a8b47f3c3b49510fa2b99e9f7e69dc3b8f5d0ba6fa6f
CAT|GINGER|PURPLE_COLLARED: 8270a64bd2dfdb977f4afb5aaa24c4c3acc621b7f116f63a77b3d27937def78f
CAT|GINGER|CYAN_COLLARED: 36a2f45b3b1bf2c3e1c92d1429a2e667857b845bf2627ab099813c3cac1a2165
CAT|GINGER|LIGHT_GRAY_COLLARED: 7d34598cbc8203176fb8d9bab5740060fa60708611031d3200afa04e09ff4912
CAT|GINGER|GRAY_COLLARED: 97a742a05485d05d1069a1fc699217380ac9f64e678f7b2ae231d92ac5b8539
CAT|GINGER|PINK_COLLARED: 3d1181967777c8615d8ec3c7336aa72e38734faef5d8475f65cedd32e27a14eb
CAT|GINGER|LIME_COLLARED: 64b9ae4780359b0488af54d6e899254a17d316e0482177b64889e5e3b3f0936c
CAT|GINGER|YELLOW_COLLARED: 94158a43183baf2e0cb6069ffef36041674d0591aaa59c60d5e827bb441b582e
CAT|GINGER|LIGHT_BLUE_COLLARED: c022c1f3cb0e891b5e03f507d797ee0f9d88c95a1d80ac66d7cd3063ad457198
CAT|GINGER|MAGENTA_COLLARED: aa47a9a6fd087d34051823b15962afa43cf9cad10dd243627668744e2d34875c
CAT|GINGER|ORANGE_COLLARED: 369f55fb9ddb11e423ff3e4a0c6e060e22c577b3cdca03c56c6d0672d59920b8
CAT|GINGER|WHITE_COLLARED: 2cbc0bf3bcb2c51ed4453b20e741a80dc5f065550b1e351c0eafadc502257af5

CAT|JELLIE|BLACK_COLLARED: 288394b84443fbc2a601c444632848d414afa693087e7cb00b37ab6312940938
CAT|JELLIE|RED_COLLARED: 5b3a6fc2913e07a064a9f6be8ab708ee06c0a3520b69cd0eb6c68154f5c4abfe
CAT|JELLIE|GREEN_COLLARED: 2dab77623b679567e2a00e4ca112fec1faed3fbf560578f4744f80377a8f2328
CAT|JELLIE|BROWN_COLLARED: 71629bd96b925b57c5d966a2be862c153ca63f0995246f932a506fcd387a8996
CAT|JELLIE|BLUE_COLLARED: a84b797d32476a53f99938b87454daa121bb54b7e676caf692c07f4f3b16e45e
CAT|JELLIE|PURPLE_COLLARED: f64e0f82177107d0c44696c1f03d4d34148243ebd9e0c2ebc3b496f1bd3b268
CAT|JELLIE|CYAN_COLLARED: d6540f12bceddf26bcea48239d1a0cf93d04bf9c9db37a9834184af7daa4843d
CAT|JELLIE|LIGHT_GRAY_COLLARED: c10bf9b803a0d2b76572717442b05c83a5e887eeb62031b237a77c42fbf17b1f
CAT|JELLIE|GRAY_COLLARED: 91fbc0d3c5998ee2c080faab5da0b170e0381c7c950130368d7f2cc3ed80996e
CAT|JELLIE|PINK_COLLARED: cc0302abe7aaecb5b05064060bb94a73982a8fb3a632bb6eacb303c4e74f88a
CAT|JELLIE|LIME_COLLARED: 4d4e94b1bdb0257ff8e82d67883cf132ff878529688376037037d5114d345f5d
CAT|JELLIE|YELLOW_COLLARED: 3d6dcf620f9879abe9cd09a78fb864d085d71b12beff76915f10fa49c9cc312e
CAT|JELLIE|LIGHT_BLUE_COLLARED: 35792a2934528511051f2925c2755d9d3b36f7fbc8a4482828fd6a87b3cd1d3a
CAT|JELLIE|MAGENTA_COLLARED: 586dff6fd3b0d00643bd5f24e52f95ddd4c7b137d02426265665cc654167d88e
CAT|JELLIE|ORANGE_COLLARED: 1673b76b9546119cdbbc5b8d37adefc18854a6209981db14ec0ef0dcd6f19468
CAT|JELLIE|WHITE_COLLARED: 27f596afb869f806f61085a499b7e75148913d3e60601f166258dfbcb82a3bbf

CAT|PERSIAN|BLACK_COLLARED: e7db3694b8804c898222b1b12879e79f6165502cf2a8253942d23aad362dd4ce
CAT|PERSIAN|RED_COLLARED: 9aa47a46634796064acb25e248231470ea580622da65f18af2c1d3727c149a0a
CAT|PERSIAN|GREEN_COLLARED: ebcf513f5257693f015f878bf23edb989ab2843d62d5fd7b89f169700ad2111a
CAT|PERSIAN|BROWN_COLLARED: 333534b0b32434a7a0d076bafb7c9b091a400a1c567a1fc08c7d200503914c
CAT|PERSIAN|BLUE_COLLARED: 85aed73e08117ca054f39222624fbc9fb6f6c02cd10bd2d219feb27d17126b0f
CAT|PERSIAN|PURPLE_COLLARED: a6cd7cd7508255d0da95190bd5ad16c6541791597a9702ad8769fde9c97b4462
CAT|PERSIAN|CYAN_COLLARED: 2d3b3127a0a0df3530352c3d5753ba8458674c902c55c26f300d48a698a7cd26
CAT|PERSIAN|LIGHT_GRAY_COLLARED: 7f568df53dc5ad1d9911dce9b2344da1df1d47dd8cb4bd85400feeb8ce148e9e
CAT|PERSIAN|GRAY_COLLARED: 3db7825d58233f953aa74f79244169b51a96ca02001c394f73435ad1c1478e1b
CAT|PERSIAN|PINK_COLLARED: 924b1de919d30e123818011c7e646b656afd2615fd90be3a269b88d45ef0bd93
CAT|PERSIAN|LIME_COLLARED: defc17d4e5759515a97ec3a296f98986e2e2902a430a7a02b4452fa367b06b0c
CAT|PERSIAN|YELLOW_COLLARED: 9b44232ea53a82ca829b4b8fbb54a075a0775c039d1208ac3cdb38f3d4d0135
CAT|PERSIAN|LIGHT_BLUE_COLLARED: cae5d52905562074db00568fc195ce6b13781f8e1cea47ddd51fab106f1fc922
CAT|PERSIAN|MAGENTA_COLLARED: 1b62fc82a7affd74b642f932caa7183aa68a8ac15979277ce1e6cab50c3e898b
CAT|PERSIAN|ORANGE_COLLARED: 5d8607789edea7aca7a408dca3444073de9a0fe117f127263f77252d0783e64
CAT|PERSIAN|WHITE_COLLARED: 6d62b4a45c5fa233a4639af6fb910afc1795eb0011e46266a0865d173ebde9ab

CAT|RAGDOLL|BLACK_COLLARED: 1e44735e847e71051498bfd95fb992fa4497a50de1d4e3b59903b2e561f8b40c
CAT|RAGDOLL|RED_COLLARED: 27da7c181c1cbaf891555708df5929d63e829ec0fe013227156267cdc8044935
CAT|RAGDOLL|GREEN_COLLARED: a57cb6c7b7e313d5a5a267a3bd0238ef0ef3a93f22ea0d877bf1c80b731e4fd1
CAT|RAGDOLL|BROWN_COLLARED: 9b31262c46adf4ae3f743094b2c578db54d41a1023bbf832b26ab08dee18fad
CAT|RAGDOLL|BLUE_COLLARED: 7ebfb7f3933eae116877b1444d1f769bff3b0709fe5eb8023a193cb1e864fb81
CAT|RAGDOLL|PURPLE_COLLARED: 22e7d959081dac7ecf3d6c5738a93c8e3121af04e040c84eebab88c0440199e3
CAT|RAGDOLL|CYAN_COLLARED: 1edbcdf152616efd9fffa188fff6cc839a6aeec89c234881a17654361cfe0941
CAT|RAGDOLL|LIGHT_GRAY_COLLARED: f5d55ec569f17386f0898c0a06808e4258c185e4f7242f7bab9120ac4b5be82e
CAT|RAGDOLL|GRAY_COLLARED: da195e1f8f44d321ba92c2435d9b7ac78260b333c4d84dcacd9d540c6ebf42be
CAT|RAGDOLL|PINK_COLLARED: 74f9841fcccdf09c50aba8b2cd74ce72aefe783caf690211d1b1d52bd85d92c4
CAT|RAGDOLL|LIME_COLLARED: ce3cb75318fad785b4f53cd39ac5e25956fe274bc354ce7016d6e7408331da76
CAT|RAGDOLL|YELLOW_COLLARED: 622d11b1e65adac5bc6cb5e7cb0845e8c31115640ac7466d983b9abd5a15b9c0
CAT|RAGDOLL|LIGHT_BLUE_COLLARED: 6b04270d7dbb533bc3a6dd29b593c584b8c6adfece19735d3ea1feec13bcbe6a
CAT|RAGDOLL|MAGENTA_COLLARED: 3baad9a9e9949d50f3af162030e7366847abe43d25f1372819301b1fa4298093
CAT|RAGDOLL|ORANGE_COLLARED: d4dd4ee9a5d7a4cd36e49bf7ea16206882ae285a4336d40b613d93db873b446c
CAT|RAGDOLL|WHITE_COLLARED: 7197946165027d6e8c21353443e3b103eef4bee1a1c238984fe0afb066859d45

CAT|SIAMESE|BLACK_COLLARED: 6c24576b6ce08b049bfaf6bf8397fc5d3d838ff32be93dfdbcb8caa2b316b2b
CAT|SIAMESE|RED_COLLARED: e4e2db72eade98343bf42ba4d29e0e0b7d659fd95dcbf3fa0d3ee004373b07f2
CAT|SIAMESE|GREEN_COLLARED: 3a33fa8dbea55d99cb140fa54bdf0c4cdf57100edcc3f495d52783fda82626ab
CAT|SIAMESE|BROWN_COLLARED: c728841d71c3fa51ba1fa6ea0fe859bd09b373ef88089be7716e586d733821b9
CAT|SIAMESE|BLUE_COLLARED: 7741b04880c6f04ed5a8396c90963426e1439a42f28d02bd91663400dfa17fa4
CAT|SIAMESE|PURPLE_COLLARED: 136c0c1a548c0e3b47329cb870ceaa14b1a9f382bdadeae3f8b41f6d1367988f
CAT|SIAMESE|CYAN_COLLARED: b9031141d67d29e3e0eb77a65cbc07e2955666ac67e54840b39cef9dd368504a
CAT|SIAMESE|LIGHT_GRAY_COLLARED: 69526fa2e7fd713f9e05da931fa23d7fa3535a6b0e164a14178993915e6da802
CAT|SIAMESE|GRAY_COLLARED: 9306ec1c2845c9fb0fd2707fc8ee585127e0233ece570b8a764b8ef9f902aa22
CAT|SIAMESE|PINK_COLLARED: 543548d89ce602762fe71556cf7d0ea0dbb245f6583267ba011f833b2bd185e8
CAT|SIAMESE|LIME_COLLARED: 32e4a99723c5e67391dbb71fe7083e0f36541c8e979a2a35178c67f43c010506
CAT|SIAMESE|YELLOW_COLLARED: 7dd12e6d845c936c13b51270aa1e63d6b9a080e99c517fb691e6a1626d796d11
CAT|SIAMESE|LIGHT_BLUE_COLLARED: b2a4bb3c68bbc64f3270b1963c7cec2ced8b92ff80f006c580517e22d24fb72
CAT|SIAMESE|MAGENTA_COLLARED: 7c8b8de1ecddb9e3ef6b8f6428fbec3bbdcbf518428683ca480803c4f54ff29
CAT|SIAMESE|ORANGE_COLLARED: a777f0ec7bbc2fd1b3c93064434ea2d147340732b0f7cbf01849b9fa2f7d670
CAT|SIAMESE|WHITE_COLLARED: 29f16992f3a92c2e62fd38d5d851fd661ceb3e8a810200536ea4b12eb05f341e

CAT|TABBY|BLACK_COLLARED: f425e04f91dd768f6050b2ad477e642eece104f5e9c3afce4f7547dda1f25621
CAT|TABBY|RED_COLLARED: 29d44ca5a55d87e439475bf26e3747f4f593cf205a5a2713ca4867f06fc40ab5
CAT|TABBY|GREEN_COLLARED: 4f0245be1830f4cccaf1cbb5fea45e2de01bcd82ab76f1010080bcd04ebcb2f0
CAT|TABBY|BROWN_COLLARED: a58fec8b01c1b61d287e667810fa0d444e1ddd80e74d701008615a131f65371e
CAT|TABBY|BLUE_COLLARED: 8bd711c9c5be137698243ae1d58773bcce3b01925c773e97a382edc8b10aaaa8
CAT|TABBY|PURPLE_COLLARED: ed2926a6976f05725fd0ac1079abead49427747a687929efe31e1ccdbcfa741f
CAT|TABBY|CYAN_COLLARED: 2fded2bbcf118b110b3f91a1a6c074c4afc2b705928eb46e3d4baadfb42686ea
CAT|TABBY|LIGHT_GRAY_COLLARED: 5a88b4d234dfa37cfe834b7e9e353134e0d56c97529002cd4f34c3114fdddef6
CAT|TABBY|GRAY_COLLARED: aea5a2f6d7711217a7388eea383e1f2b26e60275c938437bbafe3c419ea2cf1d
CAT|TABBY|PINK_COLLARED: 2b0b806d3930208a941d80d843649e96280bce8e7d7f36aa819de71a81d58b0f
CAT|TABBY|LIME_COLLARED: ee8b430ffe28b4a05388c3b749ed1eab63be14861eecaa4e703b8eff87f5f383
CAT|TABBY|YELLOW_COLLARED: 55aa3a506fb3994e5125545db323dc55a7892183684a5aca9f8906ec37dce330
CAT|TABBY|LIGHT_BLUE_COLLARED: 510f0b1d46998dcda6e3701316a285b6bb3b4b045ad1d48c8db2f048aff5024f
CAT|TABBY|MAGENTA_COLLARED: 5bc636d74b74ad6e5402c6d2d1fe85224e80dd1d977c1060319daa97b6b6bb0e
CAT|TABBY|ORANGE_COLLARED: 9f69fa583acc12236241d9c5a12f04c1f3a593203af5590d82133805baff1437
CAT|TABBY|WHITE_COLLARED: 3b355ba38901ee86a23d61e9ce101658f2417d6b9b4c3812a904ade581cb4415

CAT|TUXEDO|BLACK_COLLARED: 2e2d7c6decde6cfd9c213bc453e836dab908e3579458a0ea0ee17b72757f927d
CAT|TUXEDO|RED_COLLARED: 94c15e0e9b5eb823032b50fa2958e173cfead4035183b97bf38e81ac43cb96ec
CAT|TUXEDO|GREEN_COLLARED: 8f5e40869d12b291a1e0bf82d61e84fc1b70f30e91b4c7db13067132fc44d277
CAT|TUXEDO|BROWN_COLLARED: 7503c8f8a8ecb68e2e4a711b8d348845898be4acb59cb762ce3d797200931903
CAT|TUXEDO|BLUE_COLLARED: 4a822f2877382cb6730b4424c61bdebe3c566ff427caedff4cc8ff543fef31a5
CAT|TUXEDO|PURPLE_COLLARED: 22f456e43d847ca8bb89e7a51d47770dd4becc52372a26b0f4a6b6a293e643a3
CAT|TUXEDO|CYAN_COLLARED: b47f4be2c35a9be9350a3a0fa10b7d1e6dbce8935cd395212c6e58a24f85beab
CAT|TUXEDO|LIGHT_GRAY_COLLARED: 39176305d63d7fd4037ab9306dbd6695bdd89f857e6ff0c2f2d0e61775550c3a
CAT|TUXEDO|GRAY_COLLARED: ed6738384eb94a99f8c6cd3db36b2982fee46ee8414d458d2d5303c78bcd5688
CAT|TUXEDO|PINK_COLLARED: da9af54f088be31cd56890893954151f96642650a3d8b9d1704fa831782963bf
CAT|TUXEDO|LIME_COLLARED: afc6ad94d415701b136308f1dde149fdf645de3d01bf29244499620d497ab576
CAT|TUXEDO|YELLOW_COLLARED: 72038e263671bcb398ba41a0cfd3e6df27073cc901cc149357a6d9899633ed26
CAT|TUXEDO|LIGHT_BLUE_COLLARED: 846c91ae955c61c304c26dfc940a56bd289ce92287051dba281ad7fc644b62ff
CAT|TUXEDO|MAGENTA_COLLARED: 559dbee3e3016f0976aedbd54e7392c5744bac53cb56c0c87b44fa536f0f82e
CAT|TUXEDO|ORANGE_COLLARED: 118c338bd03742366d9aeff01f977893cc543932ca0a17f01f704ec5ccbc088a
CAT|TUXEDO|WHITE_COLLARED: 7a378a89ee1d435fe2d942d6853511a80c0a9fa8924c5503db32e621d5833aeb

CAT|WHITE|BLACK_COLLARED: 48e024690469f34fbbe4b3a494068cf09316f02765fade164f4885a0aed60855
CAT|WHITE|RED_COLLARED: 89ae424f7b2df96c1db6c711e52befb4798023d1b22d92d83202fe408750041a
CAT|WHITE|GREEN_COLLARED: 2d21989c5fbd36ecbe120fdf5184bb6dc5cb5a4e47b3638f56b88bd42254f84a
CAT|WHITE|BROWN_COLLARED: f4ffac9303d70f5a24580b0ee1d93cca8833d7d0976b528968de2e8a8926b8f0
CAT|WHITE|BLUE_COLLARED: 96a31075703261d24f818cc49713eb371ceeaf9ea6e07588e89331e26840537c
CAT|WHITE|PURPLE_COLLARED: 68cc43cf43eea96b8f7ce953dc4e244c93480acf1344f0f6fbda648504ad0e06
CAT|WHITE|CYAN_COLLARED: d3bea6ea2bc00754e5eba521a4527bc3f229773d42b39cf9922a0ad74f9b8784
CAT|WHITE|LIGHT_GRAY_COLLARED: d559c8233ea82879248cd7dd5dbfb1a11b99ff6d24db52139a7d486d35f17007
CAT|WHITE|GRAY_COLLARED: afe8d7e1a6ff1bf79d6bd7215928b43e0ec382cb6c93df7f0daff95aa6034ed3
CAT|WHITE|PINK_COLLARED: 5140292951e58eae31ca8a599550e7b5c664f87195736447f12e46b417aff3a5
CAT|WHITE|LIME_COLLARED: 96a8b1d4b89f104492f8604e483ed5cc55a9ce4513335ca252cf3eafe71434d6
CAT|WHITE|YELLOW_COLLARED: 7dca9a651a5e9f364b4aeead2ede713cd322627bc8292677b0bf41ddb5f17531
CAT|WHITE|LIGHT_BLUE_COLLARED: 21389236df5043a005aaceb7a2f2e9d41922bd86bdfcdb556a861d6a19697311
CAT|WHITE|MAGENTA_COLLARED: 24ebdb47e97b877f460c4ae30f788c0df794ee8bad355a7c632f862e952bcf72
CAT|WHITE|ORANGE_COLLARED: 662c0762daff5ccb771b880e08f6564329835bd6a64e45dc92839eb176919563
CAT|WHITE|WHITE_COLLARED: 24a8a7bf5e750f808e4fbd40894dfe746a07245dc16a113743ae35feb5b0f771
